,RP2-0.xy,RP2-90a.xy,RP2-30.xy,RP2-70.xy,RP2-50.xy
0,RP2-0.xy,RP2-90a.xy,RP2-30.xy,RP2-70.xy,RP2-50.xy
1,379.3601600450729,115.58808052041024,200.9141631289452,112.85730462539729,148.53637209012982
2,518.3746171895936,159.8103193621985,274.4094173198832,153.84041853175222,202.41813052170247
3,765.7572804810676,238.77804796821277,409.7983548041188,230.68027531658353,302.87169804071726
4,707.7601898444021,220.81095728772058,379.4018162829206,213.30880645689223,279.1443900330613
5,478.42301981374766,148.8952436225711,254.52713334528406,143.7066803545584,187.34726955571156
6,253.28316481035267,80.35972961014629,137.07478060004243,78.03460967270418,101.89359815576029
7,105.83566330714454,33.46333773429707,56.97623550832979,31.812005105349957,41.23960960238268
8,34.310296387627645,11.079676749051588,18.264430124112273,10.234240429695923,13.176691226876205
9,7.59406763469414,4.200386651460163,5.392130698330277,4.585807016533468,4.343413626664439
